,fraction or g/ml ,"V/V, W/V, Dry (undiluted or 100%)",,,M/F,(in days)(average value in case range is reported),(in hours)(average in case range is reported),,,(original)(spikes/second),(sfr subtracted or not),(response of solvent or control subtracted in case sfr not subtracted or reported),
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,4,yes,4,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,8,yes,8,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,-13,yes,-13,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,-5,yes,-5,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,19,yes,19,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,40,yes,40,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,25,yes,25,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,36,yes,36,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,26,yes,26,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,37,yes,37,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,17,yes,17,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,57,yes,57,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,34,yes,34,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,-4,yes,-4,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,-5,yes,-5,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr32,Carey2010,5,yes,5,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr32,Carey2010,6,yes,6,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr32,Carey2010,-15,yes,-15,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr32,Carey2010,1,yes,1,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr32,Carey2010,10,yes,10,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr33,Carey2010,-4,yes,-4,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr33,Carey2010,-4,yes,-4,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr33,Carey2010,-4,yes,-4,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,1,yes,1,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-1,yes,-1,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr33,Carey2010,-10,yes,-10,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr33,Carey2010,-17,yes,-17,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr33,Carey2010,-11,yes,-11,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,0,yes,0,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-16,yes,-16,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-1,yes,-1,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-9,yes,-9,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-5,yes,-5,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-3,yes,-3,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,1,yes,1,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,2,yes,2,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-2,yes,-2,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr33,Carey2010,-4,yes,-4,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr33,Carey2010,-9,yes,-9,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr33,Carey2010,-4,yes,-4,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-7,yes,-7,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr33,Carey2010,-14,yes,-14,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-8,yes,-8,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr33,Carey2010,-3,yes,-3,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-3,yes,-3,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr33,Carey2010,-5,yes,-5,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-13,yes,-13,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,0,yes,0,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-9,yes,-9,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-15,yes,-15,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-6,yes,-6,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-2,yes,-2,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-9,yes,-9,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-9,yes,-9,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-6,yes,-6,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,2,yes,2,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-9,yes,-9,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-12,yes,-12,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-24,yes,-24,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-29,yes,-29,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-24,yes,-24,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-2,yes,-2,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-1,yes,-1,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-21,yes,-21,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-9,yes,-9,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-21,yes,-21,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-26,yes,-26,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-23,yes,-23,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-25,yes,-25,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-28,yes,-28,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-1,yes,-1,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-24,yes,-24,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-9,yes,-9,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-13,yes,-13,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-9,yes,-9,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-15,yes,-15,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-18,yes,-18,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,0,yes,0,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-15,yes,-15,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,0,yes,0,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-18,yes,-18,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-15,yes,-15,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-12,yes,-12,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-13,yes,-13,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-5,yes,-5,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-1,yes,-1,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-13,yes,-13,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-9,yes,-9,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-10,yes,-10,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-5,yes,-5,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-1,yes,-1,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-13,yes,-13,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-22,yes,-22,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-27,yes,-27,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-22,yes,-22,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-16,yes,-16,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-15,yes,-15,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-29,yes,-29,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-22,yes,-22,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-12,yes,-12,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-7,yes,-7,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr33,Carey2010,-6,yes,-6,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-19,yes,-19,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-26,yes,-26,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-31,yes,-31,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,3,yes,3,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-17,yes,-17,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-10,yes,-10,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-26,yes,-26,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-29,yes,-29,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-30,yes,-30,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-20,yes,-20,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-26,yes,-26,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-17,yes,-17,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-20,yes,-20,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-22,yes,-22,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-27,yes,-27,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-24,yes,-24,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-27,yes,-27,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-24,yes,-24,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-37,yes,-37,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-21,yes,-21,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-15,yes,-15,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-26,yes,-26,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-7,yes,-7,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-10,yes,-10,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-6,yes,-6,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,-4,yes,-4,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr33,Carey2010,1,yes,1,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr33,Carey2010,-7,yes,-7,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr33,Carey2010,-4,yes,-4,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr33,Carey2010,-1,yes,-1,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr33,Carey2010,-11,yes,-11,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr35,Carey2010,-5,yes,-5,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr35,Carey2010,-13,yes,-13,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr35,Carey2010,-14,yes,-14,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,2,yes,2,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,0,yes,0,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr35,Carey2010,-5,yes,-5,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr35,Carey2010,-20,yes,-20,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr35,Carey2010,-9,yes,-9,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-1,yes,-1,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-15,yes,-15,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,0,yes,0,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-10,yes,-10,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-3,yes,-3,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-3,yes,-3,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,1,yes,1,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,1,yes,1,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-2,yes,-2,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr35,Carey2010,-12,yes,-12,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr35,Carey2010,-5,yes,-5,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr35,Carey2010,-15,yes,-15,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-7,yes,-7,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr35,Carey2010,-7,yes,-7,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-13,yes,-13,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr35,Carey2010,-4,yes,-4,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-1,yes,-1,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr35,Carey2010,-8,yes,-8,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-20,yes,-20,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,1,yes,1,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-4,yes,-4,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-20,yes,-20,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,2,yes,2,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,2,yes,2,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-2,yes,-2,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-3,yes,-3,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,13,yes,13,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,6,yes,6,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,5,yes,5,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,64,yes,64,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-32,yes,-32,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-28,yes,-28,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-21,yes,-21,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-4,yes,-4,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-2,yes,-2,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-8,yes,-8,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-19,yes,-19,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-25,yes,-25,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-18,yes,-18,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-46,yes,-46,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-8,yes,-8,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-14,yes,-14,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,71,yes,71,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-33,yes,-33,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-5,yes,-5,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-2,yes,-2,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-15,yes,-15,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-10,yes,-10,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-11,yes,-11,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,3,yes,3,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,10,yes,10,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,36,yes,36,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-8,yes,-8,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,0,yes,0,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,4,yes,4,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-4,yes,-4,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-1,yes,-1,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,3,yes,3,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-8,yes,-8,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-5,yes,-5,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-10,yes,-10,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,0,yes,0,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,4,yes,4,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-4,yes,-4,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-12,yes,-12,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-4,yes,-4,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-10,yes,-10,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-3,yes,-3,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,4,yes,4,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,0,yes,0,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,0,yes,0,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-4,yes,-4,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-4,yes,-4,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr35,Carey2010,-4,yes,-4,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-6,yes,-6,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-2,yes,-2,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-18,yes,-18,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-3,yes,-3,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,11,yes,11,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-3,yes,-3,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,7,yes,7,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-5,yes,-5,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-16,yes,-16,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,4,yes,4,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,15,yes,15,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,4,yes,4,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,7,yes,7,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-24,yes,-24,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-20,yes,-20,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-26,yes,-26,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-39,yes,-39,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-18,yes,-18,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-25,yes,-25,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-6,yes,-6,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-15,yes,-15,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-14,yes,-14,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,15,yes,15,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-3,yes,-3,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-8,yes,-8,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,-2,yes,-2,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr35,Carey2010,0,yes,0,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr35,Carey2010,-15,yes,-15,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr35,Carey2010,-5,yes,-5,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr35,Carey2010,0,yes,0,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr35,Carey2010,-13,yes,-13,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr38,Carey2010,-3,yes,-3,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr38,Carey2010,-1,yes,-1,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr38,Carey2010,-2,yes,-2,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr38,Carey2010,3,yes,3,
